Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),EMS:IW North Zone Average Temperature [C](TimeStep),EMS:IW Effective Zone Air Temperature Setpoint [C](TimeStep),EMS:IW Occp First Come Pred [](TimeStep),EMS:IW Occp Last Leave Pred [](TimeStep),EMS:IW Occp Mode [](TimeStep),EMS:IW Hot Water Supply Temperature Setpoint Action [C](TimeStep),EMS:IW Calculated Heating Demand [KW](TimeStep),EMS:IW Average PMV [%](TimeStep),EMS:Setback Flag Sensor [](TimeStep),TEMPHWLOOP SUPPLY SIDE OUTLET:System Node Temperature [C](TimeStep),TEMPHWLOOP SUPPLY SIDE OUTLET:System Node Mass Flow Rate [kg/s](TimeStep),TEMPHWLOOP DEMAND SIDE INLET:System Node Temperature [C](TimeStep),TEMPHWLOOP DEMAND SIDE INLET:System Node Mass Flow Rate [kg/s](TimeStep) 
 01/01  00:05:00,5.89166666666667,81.0833333333333,0.0,0.0,17.7122209313642,18.,12.,16.,0.0,17.7122209313642,13.7680978301875,-999.,1.,24.3862191023594,4.4390336730227,24.7606968239299,4.4390336730227 
 01/01  00:10:00,6.08333333333333,80.1666666666667,0.0,0.0,17.6912671744669,18.,12.,16.,0.0,34.8379949219977,12.9892640151494,-999.,1.,23.8287265000945,4.4390336730227,24.1824177400585,4.4390336730227 
 01/01  00:15:00,6.275,79.25,0.0,0.0,17.671921586893,18.,12.,16.,0.0,34.8167841310703,40.0397436676123,-999.,1.,34.8379949219977,4.4390336730227,29.4178192881339,4.4390336730227 
 01/01  00:20:00,6.46666666666667,78.3333333333333,0.0,0.0,17.6846878328988,18.,12.,16.,0.0,34.4744550043458,51.9422548545571,-999.,1.,34.8167841310703,4.4390336730227,33.7330497974833,4.4390336730227 
 01/01  00:25:00,6.65833333333333,77.4166666666667,0.0,0.0,17.7368694029043,18.,12.,16.,0.0,17.7368694029043,28.1210948454344,-999.,1.,30.471259136878,4.4390336730227,32.4091310693915,4.4390336730227 
 01/01  00:30:00,6.85,76.5,0.0,0.0,17.7923144171654,18.,12.,16.,0.0,17.7923144171654,19.2069598674979,-999.,1.,30.0057978902639,4.4390336730227,30.6401639090291,4.4390336730227 
 01/01  00:35:00,7.04166666666667,75.5833333333333,0.0,0.0,17.84000716141,18.,12.,16.,0.0,17.84000716141,18.6606076037294,-999.,1.,29.265521101902,4.4390336730227,29.7628583187494,4.4390336730227 
 01/01  00:40:00,7.23333333333333,74.6666666666667,0.0,0.0,17.8548697873759,18.,12.,16.,0.0,17.8548697873759,17.8660227963749,-999.,1.,28.4927495803343,4.4390336730227,28.9786300090335,4.4390336730227 
 01/01  00:45:00,7.425,73.75,0.0,0.0,17.8564022611897,18.,12.,16.,0.0,17.8564022611897,16.7202906933339,-999.,1.,27.772223150297,4.4390336730227,28.2297298749442,4.4390336730227 
 01/01  00:50:00,7.61666666666667,72.8333333333333,0.0,0.0,17.8514843379162,18.,12.,16.,0.0,17.8514843379162,15.6027214829627,-999.,1.,27.1014390875959,4.4390336730227,27.5284050373335,4.4390336730227 
 01/01  00:55:00,7.80833333333333,71.9166666666667,0.0,0.0,17.8422402675754,18.,12.,16.,0.0,17.8422402675754,14.5369145034803,-999.,1.,26.4767751177099,4.4390336730227,26.87456961217,4.4390336730227 
 01/01  01:00:00,8.,71.,0.0,0.0,17.8305760624003,18.,12.,16.,0.0,17.8305760624003,13.4985877609139,-999.,1.,25.8968608319121,4.4390336730227,26.266443911946,4.4390336730227 
 01/01  01:05:00,8.03333333333333,71.1666666666667,0.0,0.0,17.8179604180633,18.,12.,16.,0.0,17.8179604180633,12.6509730254908,-999.,1.,25.3547365991045,4.4390336730227,25.6997736597501,4.4390336730227 
 01/01  01:10:00,8.06666666666667,71.3333333333333,0.0,0.0,17.8039173511108,18.,12.,16.,0.0,17.8039173511108,11.8123993666429,-999.,1.,24.8479474223504,4.4390336730227,25.1704030826051,4.4390336730227 
 01/01  01:15:00,8.1,71.5,0.0,0.0,17.7887598200618,18.,12.,16.,0.0,17.7887598200618,11.1546402876651,-999.,1.,24.3708189690422,4.4390336730227,24.6739203190235,4.4390336730227 
 01/01  01:20:00,8.13333333333333,71.6666666666667,0.0,0.0,17.7731635493987,18.,12.,16.,0.0,17.7731635493987,10.6185727682897,-999.,1.,23.9168092531882,4.4390336730227,24.2044710697785,4.4390336730227 
 01/01  01:25:00,8.16666666666667,71.8333333333333,0.0,0.0,17.7574981273068,18.,12.,16.,0.0,17.7574981273068,11.2051533852073,-999.,1.,23.4448831595803,4.4390336730227,23.7383647403084,4.4390336730227 
 01/01  01:30:00,8.2,72.,0.0,0.0,17.7253893753387,18.,12.,16.,0.0,17.7253893753387,11.7955993252778,-999.,1.,22.9422015226253,4.4390336730227,23.2521994098661,4.4390336730227 
 01/01  01:35:00,8.23333333333333,72.1666666666667,0.0,0.0,17.6908249756247,18.,12.,16.,0.0,33.5917502437531,11.7503072111666,-999.,1.,22.4373112729603,4.4390336730227,22.75174543341,4.4390336730227 
 01/01  01:40:00,8.26666666666667,72.3333333333333,0.0,0.0,17.6580588460429,18.,12.,16.,0.0,33.9194115395707,38.5097470972666,-999.,1.,33.5917502437531,4.4390336730227,28.0912355418828,4.4390336730227 
 01/01  01:45:00,8.3,72.5,0.0,0.0,17.6556467993235,18.,12.,16.,0.0,33.943532006765,51.8284388287816,-999.,1.,33.9194115395707,4.4390336730227,32.6454345108906,4.4390336730227 
 01/01  01:50:00,8.33333333333333,72.6666666666667,0.0,0.0,17.6935090598406,18.,12.,16.,0.0,33.5649094015942,43.7608260012595,-999.,1.,33.5649094015942,4.4390336730227,33.4845287446844,4.4390336730227 
 01/01  01:55:00,8.36666666666667,72.8333333333333,0.0,0.0,17.7491285196727,18.,12.,16.,0.0,17.7491285196727,26.5630997625417,-999.,1.,30.6955498367603,4.4390336730227,32.1252461712702,4.4390336730227 
 01/01  02:00:00,8.4,73.,0.0,0.0,17.825777071642,18.,12.,16.,0.0,17.825777071642,20.8744952015078,-999.,1.,29.9704013262628,4.4390336730227,30.6061205106224,4.4390336730227 
 01/01  02:05:00,8.425,73.0833333333333,0.0,0.0,17.8570987260095,18.,12.,16.,0.0,17.8570987260095,20.0515375148693,-999.,1.,29.1449956988611,4.4390336730227,29.6850696294158,4.4390336730227 
 01/01  02:10:00,8.45,73.1666666666667,0.0,0.0,17.8556424647392,18.,12.,16.,0.0,17.8556424647392,19.165259599792,-999.,1.,28.3183197407233,4.4390336730227,28.8397168871869,4.4390336730227 
 01/01  02:15:00,8.475,73.25,0.0,0.0,17.8421202738305,18.,12.,16.,0.0,17.8421202738305,18.072159750333,-999.,1.,27.5401113656694,4.4390336730227,28.0335613926929,4.4390336730227 
 01/01  02:20:00,8.5,73.3333333333333,0.0,0.0,17.8231285817328,18.,12.,16.,0.0,17.8231285817328,16.9945145344647,-999.,1.,26.8093061010418,4.4390336730227,27.2734683347816,4.4390336730227 
 01/01  02:25:00,8.525,73.4166666666667,0.0,0.0,17.8013639526387,18.,12.,16.,0.0,17.8013639526387,15.9833362730598,-999.,1.,26.1224620575027,4.4390336730227,26.5587826854939,4.4390336730227 
 01/01  02:30:00,8.55,73.5,0.0,0.0,17.7782861606923,18.,12.,16.,0.0,17.7782861606923,15.1152618737312,-999.,1.,25.4737626331183,4.4390336730227,25.885435041999,4.4390336730227 
 01/01  02:35:00,8.575,73.5833333333333,0.0,0.0,17.7546730188909,18.,12.,16.,0.0,17.7546730188909,14.2517802383982,-999.,1.,24.8616802796862,4.4390336730227,25.2501111665613,4.4390336730227 
 01/01  02:40:00,8.6,73.6666666666667,0.0,0.0,17.7310113270453,18.,12.,16.,0.0,17.7310113270453,13.5867522246269,-999.,1.,24.2797025701277,4.4390336730227,24.6484244364494,4.4390336730227 
 01/01  02:45:00,8.625,73.75,0.0,0.0,17.7223130064032,18.,12.,16.,0.0,17.7223130064032,12.7770032557406,-999.,1.,23.7306871208817,4.4390336730227,24.0789877453743,4.4390336730227 
 01/01  02:50:00,8.65,73.8333333333333,0.0,0.0,17.7157664562673,18.,12.,16.,0.0,17.7157664562673,12.037025202024,-999.,1.,23.2148314199784,4.4390336730227,23.5424684977183,4.4390336730227 
 01/01  02:55:00,8.675,73.9166666666667,0.0,0.0,17.7079483267022,18.,12.,16.,0.0,17.7079483267022,11.3467716616359,-999.,1.,22.7287204901345,4.4390336730227,23.0373485413894,4.4390336730227 
 01/01  03:00:00,8.7,74.,0.0,0.0,17.698591853642,18.,12.,16.,0.0,33.5140814635802,10.70000117992,-999.,1.,22.2706016319054,4.4390336730227,22.5614289707624,4.4390336730227 
