time_in_sec,c
1,21.31208243
2,21.30097407
3,21.30287222
4,21.28801095
5,21.28057348
6,21.28526543
7,21.27574906
8,21.26582167
9,21.27138333
10,21.26053933
11,21.25090828
12,21.25278668
13,21.25094444
14,21.23556049
15,21.23833674
16,21.24185802
17,21.23650715
18,21.24489568
19,21.24823123
20,21.24303267
21,21.23772072
22,21.23912901
23,21.22578044
24,21.20659104
25,21.19306017
26,21.1844099
27,21.17291264
28,21.17330526
29,21.16110679
30,21.15822963
31,21.14263582
32,21.13334508
33,21.11201914
34,21.0957963
35,21.09021654
36,21.09168142
37,21.08911323
38,21.09819285
39,21.0921479
40,21.08312747
41,21.07715185
42,21.08494879
43,21.09220667
44,21.08163272
45,21.08747555
46,21.08207781
47,21.07937531
48,21.08182593
49,21.08631146
50,21.08500617
51,21.07686453
52,21.07872618
53,21.0737561
54,21.07958827
55,21.07661673
56,21.06677644
57,21.0619164
58,21.04844998
59,21.04180717
60,21.04163182
61,21.03945504
62,21.03201393
63,21.01823025
64,21.00483114
65,21.00603426
66,21.0012
67,20.99823272
68,20.99766628
69,21.00024851
70,20.98828422
71,20.98988373
72,20.98985856
73,20.99403123
74,20.98167814
75,20.97372001
76,20.97394665
77,20.96106667
78,20.96642346
79,20.96990247
80,20.95982125
81,20.95089136
82,20.95066273
83,20.94191605
84,20.94429572
85,20.93927187
86,20.93512715
87,20.92845867
88,20.91768086
89,20.91824594
90,20.90971205
91,20.90533951
92,20.89867502
93,20.89619877
94,20.89212409
95,20.89485101
96,20.89318704
97,20.89434042
98,20.90592339
99,20.93056173
100,21.0073018
101,21.09759543
102,21.18278562
103,21.27638333
104,21.3834626
105,21.49522597
106,21.61895009
107,21.74738334
108,21.87893635
109,21.99525579
110,22.10952099
111,22.2054706
112,22.30302565
113,22.38601323
114,22.47169259
115,22.56849198
116,22.66451235
117,22.74909173
118,22.83809947
119,22.92749259
120,22.99877741
121,23.07403959
122,23.13411657
123,23.19479383
124,23.23551827
125,23.28062001
126,23.31366726
127,23.33103951
128,23.34280123
129,23.35964074
130,23.37878148
131,23.38063148
132,23.37782802
133,23.36610715
134,23.35206481
135,23.34224099
136,23.33574877
137,23.30986453
138,23.30028732
139,23.30073112
140,23.29161375
141,23.28959383
142,23.28418032
143,23.28355346
144,23.27877432
145,23.28220185
146,23.28734136
147,23.30291265
148,23.30717743
149,23.31626609
150,23.32459506
151,23.32969877
152,23.34258491
153,23.3408169
154,23.34266669
155,23.3291707
156,23.3303358
157,23.31844249
158,23.31682469
159,23.30289321
160,23.29099444
161,23.26990956
162,23.2632784
163,23.25527346
164,23.25751322
165,23.26606677
166,23.2846142
167,23.28767587
168,23.31303546
169,23.32394358
170,23.33351074
171,23.34303092
172,23.34834742
173,23.33678395
174,23.32297554
175,23.31676943
176,23.29417815
177,23.27342624
178,23.25963677
179,23.23491914
180,23.22101358
181,23.20690706
182,23.20522654
183,23.20433272
184,23.21231057
185,23.21905283
186,23.21800457
187,23.22567038
188,23.22157222
189,23.2236657
190,23.22004194
191,23.2122441
192,23.19753368
193,23.18469475
194,23.15012069
195,23.12668896
196,23.11029603
197,23.07714198
198,23.06264074
199,23.03859437
200,23.01070926
201,22.97912744
202,22.94561448
203,22.9123886
204,22.87851634
205,22.83180463
206,22.80100922
207,22.77034938
208,22.7334404
209,22.70066448
210,22.66283581
211,22.63251946
