time_in_sec,c
1,4.138888889
2,4.194444444
3,4.166666667
4,4.194444444
5,4.194444444
6,4.244444444
7,4.194444444
8,4.244444444
9,4.222222222
10,4.244444444
11,4.272222222
12,4.3
13,4.3
14,4.322222222
15,4.322222222
16,4.3
17,4.322222222
18,4.35
19,4.377777778
20,4.35
21,4.061111111
22,4.011111111
23,4.038888889
24,4.061111111
25,3.933333333
26,3.877777778
27,3.511111111
28,3.461111111
29,3.355555556
30,3.144444444
31,3.25
32,3.405555556
33,3.75
34,3.672222222
35,3.672222222
36,3.566666667
37,3.405555556
38,3.222222222
39,3.166666667
40,3.116666667
41,3.088888889
42,3.033333333
43,3.033333333
44,3.033333333
45,2.955555556
46,3.116666667
47,3.194444444
48,3.222222222
49,3.033333333
50,2.877777778
51,2.822222222
52,2.744444444
53,2.661111111
54,2.611111111
55,2.527777778
56,2.45
57,2.372222222
58,2.372222222
59,2.261111111
60,2.288888889
61,2.211111111
62,2.233333333
63,2.1
64,2.1
65,2.127777778
66,2.127777778
67,2.072222222
68,2.05
69,2.05
70,2.05
71,2.022222222
72,2.022222222
73,1.911111111
74,1.861111111
75,1.805555556
76,1.672222222
77,1.672222222
78,1.672222222
79,1.561111111
80,1.505555556
81,1.4
82,1.316666667
83,1.233333333
84,1.233333333
85,1.155555556
86,1.127777778
87,1.127777778
88,1.127777778
89,1.127777778
90,1.127777778
91,1.044444444
92,0.905555556
93,0.8
94,0.8
95,0.822222222
96,0.933333333
97,1.072222222
98,1.127777778
99,1.233333333
100,1.344444444
101,1.4
102,1.372222222
103,1.316666667
104,1.644444444
105,1.861111111
106,1.966666667
107,2.127777778
108,2.155555556
109,1.911111111
110,1.861111111
111,1.883333333
112,1.966666667
113,2.072222222
114,2.072222222
115,2.127777778
116,2.316666667
117,2.233333333
118,2.183333333
119,2.527777778
120,2.555555556
121,3.222222222
122,3.722222222
123,3.511111111
124,3.355555556
125,3.905555556
126,4.3
127,4.583333333
128,5.077777778
129,5.361111111
130,5.411111111
131,5.205555556
132,4.688888889
133,4.794444444
134,5.233333333
135,4.3
136,4.35
137,4.427777778
138,4.688888889
139,4.738888889
140,5.127777778
141,5.411111111
142,5.177777778
143,4.894444444
144,4.894444444
145,4.272222222
146,4.322222222
147,4.611111111
148,4.922222222
149,5.488888889
150,5.744444444
151,6.127777778
152,6.127777778
153,6
154,6.511111111
155,5.283333333
156,6.1
157,5.383333333
158,5.305555556
159,5.233333333
160,6.811111111
161,6.583333333
162,6.177777778
163,6.711111111
164,6.227777778
165,6.127777778
166,6.711111111
167,6.966666667
168,7.416666667
169,7.166666667
170,6.761111111
171,6.738888889
172,7.544444444
173,6.938888889
174,7.266666667
175,6.916666667
176,6.811111111
177,7.566666667
178,7.494444444
179,7.694444444
180,7.994444444
181,7.994444444
182,8.122222222
183,7.744444444
184,8.222222222
185,8.044444444
186,8.416666667
187,9.088888889
188,7.944444444
189,7.416666667
190,7.244444444
191,7.088888889
192,6.938888889
193,6.866666667
194,7.066666667
195,7.366666667
196,7.166666667
197,6.838888889
198,6.761111111
199,6.688888889
200,6.611111111
201,6.511111111
202,6.433333333
203,6.333333333
204,6.277777778
205,6.205555556
206,6.1
207,6.027777778
208,5.922222222
209,5.588888889
210,5.566666667
211,5.305555556
212,5.255555556
213,5.283333333
214,5.305555556
215,5.177777778
216,5.05
217,4.944444444
218,5.1
219,4.894444444
220,4.688888889
221,4.611111111
222,4.477777778
223,4.377777778
224,4.4
225,4.427777778
226,4.505555556
227,4.611111111
228,4.611111111
229,4.688888889
230,4.716666667
231,4.688888889
232,4.661111111
233,4.611111111
234,4.661111111
235,4.583333333
236,4.583333333
237,4.555555556
238,4.583333333
239,4.505555556
240,4.455555556
241,4.322222222
242,4.194444444
243,4.116666667
244,4.138888889
245,4.194444444
246,4.194444444
247,4.138888889
248,4.061111111
249,3.905555556
250,3.905555556
251,3.905555556
252,3.827777778
253,3.722222222
254,3.672222222
255,3.722222222
256,3.75
257,3.694444444
258,3.588888889
259,3.722222222
260,3.644444444
261,3.566666667
262,3.644444444
263,3.722222222
264,3.772222222
265,3.75
266,3.672222222
267,3.616666667
268,3.588888889
269,3.566666667
270,3.461111111
271,3.355555556
272,3.222222222
273,3.327777778
274,3.194444444
275,3.061111111
276,3.116666667
277,3.061111111
278,2.983333333
279,2.877777778
280,2.877777778
281,2.85
282,2.772222222
283,2.772222222
284,2.85
285,2.927777778
286,2.877777778
287,2.877777778
288,2.85
289,2.794444444
290,2.744444444
291,2.716666667
292,2.85
293,2.905555556
294,3.033333333
295,2.877777778
296,2.794444444
297,3.033333333
298,2.983333333
299,3.061111111
300,3.088888889
301,3.088888889
302,3.061111111
303,3.116666667
304,3.088888889
305,3.061111111
306,3.088888889
307,2.983333333
308,2.905555556
309,2.927777778
310,2.877777778
311,2.877777778
312,2.85
313,2.85
314,2.877777778
315,2.822222222
316,2.983333333
317,3.061111111
318,2.983333333
319,2.955555556
320,2.905555556
321,2.983333333
322,3.061111111
323,3.144444444
324,3.194444444
325,3.166666667
326,3.061111111
327,3.033333333
328,3.088888889
329,3.166666667
330,3.272222222
331,3.327777778
332,3.3
333,3.327777778
334,3.3
335,3.355555556
336,3.483333333
337,3.433333333
338,3.511111111
339,3.566666667
340,3.566666667
341,3.588888889
342,3.722222222
343,3.827777778
344,4.116666667
345,4.35
346,4.377777778
347,4.716666667
348,5.155555556
349,5.255555556
350,5.361111111
351,5.461111111
352,5.438888889
353,5.438888889
354,5.383333333
355,5.411111111
356,5.438888889
357,5.488888889
358,5.511111111
359,5.566666667
360,5.588888889
361,5.644444444
362,5.694444444
363,5.716666667
364,5.794444444
365,5.822222222
366,5.922222222
367,5.844444444
368,5.922222222
369,5.922222222
370,5.95
371,5.922222222
372,5.872222222
373,5.9
374,5.872222222
375,5.9
376,5.922222222
377,5.922222222
378,6
379,6.027777778
380,6
381,6.077777778
382,6.077777778
383,6.127777778
384,6.205555556
385,6.1
386,6.155555556
387,6.155555556
388,6.227777778
389,6.255555556
390,6.277777778
391,6.227777778
392,6.305555556
393,6.355555556
394,6.355555556
395,6.333333333
396,6.333333333
397,6.305555556
398,6.405555556
399,6.483333333
400,6.433333333
401,6.511111111
402,6.583333333
403,6.661111111
404,6.688888889
405,6.761111111
406,6.633333333
407,6.711111111
408,6.711111111
409,6.738888889
410,6.761111111
411,6.811111111
412,6.916666667
413,6.788888889
414,6.938888889
415,6.938888889
416,6.938888889
417,7.038888889
418,7.138888889
419,7.166666667
420,7.166666667
421,7.116666667
422,7.316666667
423,7.138888889
424,7.294444444
425,7.316666667
426,7.316666667
427,7.366666667
428,7.444444444
429,7.444444444
430,7.566666667
431,7.616666667
432,7.594444444
433,7.694444444
434,7.772222222
435,7.822222222
436,7.822222222
437,7.922222222
438,7.872222222
439,8.044444444
440,8.172222222
441,8.044444444
442,8.044444444
443,8.094444444
444,8.044444444
445,8.122222222
446,8.294444444
447,8.294444444
448,8.272222222
449,8.194444444
450,8.294444444
451,8.272222222
452,8.294444444
453,8.272222222
454,8.366666667
455,8.366666667
456,8.344444444
457,8.344444444
458,8.294444444
459,8.394444444
460,8.272222222
461,8.366666667
462,8.444444444
463,8.444444444
464,8.544444444
465,8.394444444
466,8.494444444
467,8.544444444
468,8.566666667
469,8.544444444
470,8.516666667
471,8.494444444
472,8.466666667
473,8.416666667
474,8.516666667
475,8.444444444
476,8.494444444
477,8.466666667
478,8.466666667
479,8.416666667
480,8.416666667
481,8.344444444
482,8.366666667
483,8.394444444
484,8.394444444
485,8.394444444
486,8.366666667
487,8.444444444
488,8.366666667
489,8.416666667
490,8.416666667
491,8.466666667
492,8.466666667
493,8.466666667
494,8.416666667
495,8.444444444
496,8.444444444
497,8.416666667
498,8.444444444
499,8.444444444
500,8.394444444
501,8.344444444
502,8.344444444
503,8.344444444
504,8.366666667
505,8.294444444
506,8.222222222
507,8.222222222
508,8.244444444
509,8.122222222
510,8.094444444
511,8.044444444
512,8.072222222
513,8.122222222
514,8.044444444
515,8.044444444
516,8.094444444
517,8.044444444
518,8.072222222
519,7.994444444
520,7.972222222
521,7.972222222
522,7.944444444
523,7.894444444
524,7.922222222
525,7.994444444
526,8.022222222
527,8.094444444
528,8.094444444
529,8.044444444
530,8.072222222
531,8.044444444
532,8.044444444
533,8.044444444
534,8.072222222
535,8.044444444
536,8.044444444
537,8.044444444
538,8.094444444
539,8.072222222
540,8.044444444
541,8.022222222
542,8.022222222
543,8.022222222
544,7.994444444
545,8.044444444
546,7.994444444
547,7.972222222
548,7.922222222
549,7.872222222
550,7.822222222
551,7.822222222
552,7.794444444
553,7.772222222
554,7.722222222
555,7.672222222
556,7.616666667
557,7.544444444
558,7.516666667
559,7.444444444
560,7.394444444
561,7.316666667
562,7.266666667
563,7.216666667
564,7.216666667
565,7.194444444
566,7.194444444
567,7.194444444
568,7.116666667
569,7.116666667
570,7.066666667
571,7.088888889
572,7.116666667
573,7.088888889
574,7.138888889
575,7.088888889
576,7.066666667
577,7.016666667
578,6.966666667
579,6.966666667
580,6.916666667
581,6.966666667
582,6.966666667
583,7.016666667
584,6.988888889
585,6.966666667
586,6.916666667
587,6.888888889
588,6.866666667
589,6.811111111
590,6.738888889
591,6.738888889
592,6.688888889
593,6.661111111
594,6.661111111
595,6.661111111
596,6.661111111
597,6.611111111
598,6.661111111
599,6.661111111
600,6.688888889
601,6.738888889
602,6.788888889
603,6.811111111
604,6.838888889
605,6.866666667
606,6.888888889
607,6.938888889
608,6.966666667
609,6.966666667
610,6.938888889
611,6.938888889
612,6.966666667
613,7.038888889
614,7.116666667
615,7.138888889
616,7.138888889
617,7.166666667
618,7.216666667
619,7.294444444
620,7.316666667
621,7.366666667
622,7.416666667
623,7.494444444
624,7.516666667
625,7.594444444
626,7.672222222
627,7.772222222
628,7.822222222
629,7.922222222
630,7.922222222
631,7.894444444
632,7.922222222
633,7.922222222
634,7.922222222
635,7.944444444
636,7.894444444
637,7.872222222
638,7.822222222
639,7.794444444
640,7.744444444
641,7.694444444
642,7.694444444
643,7.694444444
644,7.694444444
645,7.772222222
646,7.822222222
647,7.822222222
648,7.794444444
649,7.822222222
650,7.822222222
651,7.844444444
652,7.872222222
653,7.822222222
654,7.844444444
655,7.872222222
656,7.872222222
657,7.872222222
658,7.922222222
659,7.922222222
660,7.944444444
661,7.922222222
662,7.944444444
663,7.894444444
664,7.894444444
665,7.872222222
666,7.822222222
667,7.822222222
668,7.722222222
669,7.744444444
670,7.616666667
671,7.644444444
672,7.644444444
673,7.672222222
674,7.616666667
675,7.594444444
676,7.516666667
677,7.544444444
678,7.544444444
679,7.466666667
680,7.494444444
681,7.444444444
682,7.394444444
683,7.444444444
684,7.366666667
685,7.294444444
686,7.294444444
687,7.266666667
688,7.244444444
689,7.166666667
690,7.216666667
691,7.316666667
692,7.294444444
693,7.138888889
694,7.138888889
695,7.138888889
696,7.088888889
697,7.116666667
698,7.194444444
699,7.088888889
700,7.194444444
701,7.216666667
702,7.244444444
703,7.166666667
704,7.088888889
705,7.088888889
706,7.116666667
707,7.166666667
708,7.138888889
709,7.066666667
710,7.066666667
711,7.216666667
712,7.116666667
713,7.244444444
714,7.316666667
715,7.366666667
716,7.416666667
717,7.316666667
718,7.294444444
719,7.416666667
720,7.544444444
721,7.466666667
722,7.566666667
723,7.644444444
724,7.544444444
725,7.516666667
726,7.566666667
727,7.672222222
728,7.744444444
729,7.644444444
730,7.594444444
731,7.822222222
732,7.844444444
733,7.922222222
734,7.794444444
735,7.894444444
736,7.944444444
737,8.122222222
738,8.022222222
739,8.094444444
740,8.194444444
741,7.922222222
742,8.072222222
743,7.994444444
744,8.022222222
745,8.194444444
746,8.094444444
747,8.094444444
748,8.272222222
749,8.122222222
750,8.172222222
751,8.272222222
752,8.344444444
753,8.366666667
754,8.294444444
755,8.344444444
756,8.416666667
757,8.394444444
758,8.494444444
759,8.416666667
760,8.344444444
761,8.444444444
762,8.366666667
763,8.366666667
764,8.366666667
765,8.416666667
766,8.294444444
767,8.394444444
768,8.444444444
769,8.444444444
770,8.394444444
771,8.494444444
772,8.466666667
773,8.516666667
774,8.516666667
775,8.466666667
776,8.444444444
777,8.416666667
778,8.466666667
779,8.444444444
780,8.416666667
781,8.322222222
782,8.394444444
783,8.366666667
784,8.394444444
785,8.416666667
786,8.394444444
787,8.416666667
788,8.466666667
789,8.494444444
790,8.516666667
791,8.516666667
792,8.544444444
793,8.494444444
794,8.544444444
795,8.494444444
796,8.544444444
797,8.616666667
798,8.616666667
799,8.616666667
800,8.644444444
801,8.694444444
802,8.716666667
803,8.816666667
804,8.888888889
805,8.866666667
806,8.916666667
807,8.988888889
808,8.916666667
809,8.888888889
810,8.794444444
811,8.816666667
812,8.838888889
813,8.916666667
814,9.161111111
815,9.433333333
816,9.655555556
817,9.805555556
818,9.905555556
819,9.927777778
820,9.927777778
821,9.905555556
822,9.927777778
823,9.927777778
824,10.02777778
825,9.977777778
826,9.927777778
827,9.927777778
828,9.927777778
829,9.905555556
830,9.905555556
831,9.855555556
832,9.877777778
833,9.877777778
834,9.95
835,9.827777778
836,9.877777778
837,9.827777778
838,9.777777778
839,9.827777778
840,9.777777778
841,9.755555556
842,9.755555556
843,9.705555556
844,9.683333333
845,9.655555556
846,9.655555556
847,9.683333333
848,9.655555556
849,9.633333333
850,9.605555556
851,9.561111111
852,9.461111111
853,9.461111111
854,9.433333333
855,9.238888889
856,8.938888889
857,8.666666667
858,8.344444444
859,8.322222222
860,7.994444444
861,7.972222222
862,7.722222222
863,7.594444444
864,7.416666667
865,7.166666667
866,6.988888889
867,6.938888889
868,6.838888889
869,6.838888889
870,6.811111111
871,6.838888889
872,6.661111111
873,6.511111111
874,6.583333333
875,6.533333333
876,6.611111111
877,6.611111111
878,6.661111111
879,6.688888889
880,6.711111111
881,6.788888889
882,6.711111111
883,6.661111111
884,6.688888889
885,6.533333333
886,6.583333333
887,6.511111111
888,6.533333333
889,6.533333333
890,6.561111111
891,6.461111111
892,6.461111111
893,6.533333333
894,6.561111111
895,6.433333333
896,6.433333333
897,6.383333333
898,6.511111111
899,6.405555556
900,6.433333333
901,6.511111111
902,6.511111111
903,6.483333333
904,6.533333333
905,6.561111111
906,6.511111111
907,6.533333333
908,6.611111111
909,6.688888889
910,6.711111111
911,6.761111111
912,6.866666667
913,6.811111111
914,6.761111111
915,6.688888889
916,6.583333333
917,6.405555556
918,6.433333333
919,6.383333333
920,6.255555556
921,6.205555556
922,6.155555556
923,6.127777778
924,6.1
925,5.95
926,5.822222222
927,5.666666667
928,5.566666667
929,5.511111111
930,5.411111111
931,5.411111111
932,5.511111111
933,5.361111111
934,5.361111111
935,5.305555556
936,5.233333333
937,5.205555556
